Date,Season,Toss_team,First_innings,second_innings,bat_field,Team1_Won,Team2_lost,Player Of The Match,Stadium,Umpires1,Umpires2,TV_Umpire,Res_Umpire,Match_Ref,counter,ImpactPlayers1,Replace1Player1,ImpactPlayers2,ReplacePlayer2,impactTeam1,impactTeam2,T20_debut_1,T20_debut_2
2023-05-14,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Rajasthan Royals,Wayne Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,Rod Tucker,Parashar Joshi,Narayanan Kutty,59,Devdutt Padikkal,Yuzvendra Chahal,Shahbaz Ahmed,Dinesh Karthik,Rajasthan Royals,Royal Challengers Bangalore,None,None
2023-05-14,2023,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,Rinku Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,Javagal Srinath,60,Matheesha Pathirana,Shivam Dube,Venkatesh Iyer,Suyash Sharma,Chennai Super Kings,Kolkata Knight Riders,None,None
2023-05-15,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Jayaraman Madanagopal,Ulhas Gandhe,Akshay Totre,Mohamed Rafi,Manu Nayyar,61,Anmolpreet Singh,T Natarajan,Yash Dayal,Shubman Gill,Sunrisers Hyderabad,Gujarat Titans,None,None
2023-05-16,2023,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,field,Lucknow Super Giants,Mumbai Indians,Marcus Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Sanjay Verma,62,Vishnu Vinod,Akash Madhwal,Yash Thakur,Prerak Mankad,Mumbai Indians,Lucknow Super Giants,None,None
2023-05-17,2023,Punjab Kings,Delhi Capitals,Punjab Kings,field,Delhi Capitals,Punjab Kings,Rilee Rossouw,"Himachal Pradesh Cricket Association Stadium, Dharamsala",KN Ananthapadmanabhan,Saidharshan Kumar,Rod Tucker,Parashar Joshi,Pankaj Dharmani,63,Mukesh Kumar,Prithvi Shaw,Prabhsimran Singh,Nathan Ellis,Delhi Capitals,Punjab Kings,None,None
2023-05-18,2023,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Sunrisers Hyderabad,Virat Kohli,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Bruce Oxenford,Virender Sharma,Saiyed Khalid,VM Dhokre,Javagal Srinath,64,T Natarajan,Abdul Samad,None,None,Sunrisers Hyderabad,None,None,None
2023-05-19,2023,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Rajasthan Royals,Punjab Kings,Devdutt Padikkal,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Nand Kishore,Rod Tucker,Navdeep Singh,Parashar Joshi,Pankaj Dharmani,65,Dhruv Jurel,Yuzvendra Chahal,Nathan Ellis,Prabhsimran Singh,Rajasthan Royals,Punjab Kings,None,None
2023-05-20,2023,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,Delhi Capitals,Ruturaj Gaikwad,"Arun Jaitley Stadium, Delhi",Chris Gaffaney,Nikhil Patwardhan,Anil Chaudhary,Mohit Krishnadas,Sanjay Verma,66,Matheesha Pathirana,Shivam Dube,Prithvi Shaw,Khaleel Ahmed,Chennai Super Kings,Delhi Capitals,None,None
2023-05-20,2023,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,field,Lucknow Super Giants,Kolkata Knight Riders,Nicholas Pooran,"Eden Gardens, Kolkata",Jayaraman Madanagopal,Ulhas Gandhe,Yeshwant Barde,Mohamed Rafi,Manu Nayyar,67,Suyash Sharma,Harshit Rana,Yash Thakur,Karan Sharma,Kolkata Knight Riders,Lucknow Super Giants,None,None
2023-05-21,2023,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,Sunrisers Hyderabad,Cameron Green,"Wankhede Stadium, Mumbai",KN Ananthapadmanabhan,Rod Tucker,Rohan Pandit,Parashar Joshi,Pankaj Dharmani,68,Kartik Tyagi,Mayank Agarwal,None,None,Sunrisers Hyderabad,None,None,None
2023-05-21,2023,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,field,Gujarat Titans,Royal Challengers Bangalore,Shubman Gill,"M Chinnaswamy Stadium, Bengaluru",Nitin Menon,Virender Sharma,Tapan Sharma,VM Dhokre,Javagal Srinath,69,Himanshu Sharma,Dinesh Karthik,Vijay Shankar,Yash Dayal,Royal Challengers Bangalore,Gujarat Titans,Himanshu  Sharma,None
2023-05-23,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Chennai Super Kings,Gujarat Titans,Ruturaj Gaikwad,"MA Chidambaram Stadium, Chepauk, Chennai",Anil Chaudhary,Chris Gaffaney,Bruce Oxenford,Virender Sharma,Manu Nayyar,70,Matheesha Pathirana,Shivam Dube,Vijay Shankar,Mohit Sharma,Chennai Super Kings,Gujarat Titans,None,None
2023-05-24,2023,Mumbai Indians,Mumbai Indians,Lucknow Super Giants,bat,Mumbai Indians,Lucknow Super Giants,Akash Madhwal,"MA Chidambaram Stadium, Chepauk, Chennai",Bruce Oxenford,Virender Sharma,Chris Gaffaney,Anil Chaudhary,Narayanan Kutty,71,Kyle Mayers,Yash Thakur,Nehal Wadhera,Suryakumar Yadav,Lucknow Super Giants,Mumbai Indians,None,None
2023-05-26,2023,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Gujarat Titans,Mumbai Indians,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Rod Tucker,Jayaraman Madanagopal,KN Ananthapadmanabhan,Javagal Srinath,72,Josh Little,Shubman Gill,Nehal Wadhera,Akash Madhwal,Gujarat Titans,Mumbai Indians,None,None
2023-05-29,2023,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,field,Chennai Super Kings,Gujarat Titans,Devon Conway,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Rod Tucker,KN Ananthapadmanabhan,Jayaraman Madanagopal,Javagal Srinath,73,Josh Little,Sai Sudharsan,Shivam Dube,Matheesha Pathirana,Gujarat Titans,Chennai Super Kings,None,None
