batting,out,runs,balls,mins,fours,sixs,SR,counter
Dhruv Jurel,lbw b Noor Ahmad,9,8,13,1,0,112.50,47
Trent Boult,b Mohammed Shami,15,11,15,1,1,136.36,47
Adam Zampa,run out (Manohar),7,9,19,0,0,77.77,47
Sandeep Sharma,not out,2,5,8,0,0,40.00,47
Cameron Green,b Deshpande,6,4,10,1,0,150.00,48
Ishan Kishan †,c Theekshana b Chahar,7,9,15,1,0,77.77,48
Rohit Sharma (c),c Jadeja b Chahar,0,3,9,0,0,0.00,48
Nehal Wadhera,b Pathirana,64,51,68,8,1,125.49,48
Suryakumar Yadav,b Jadeja,26,22,35,3,0,118.18,48
Tristan Stubbs,c Jadeja b Pathirana,20,21,44,2,0,95.23,48
Tim David,c Gaikwad b Deshpande,2,4,7,0,0,50.00,48
Arshad Khan,c Gaikwad b Pathirana,1,2,6,0,0,50.00,48
Jofra Archer,not out,3,2,5,0,0,150.00,48
Piyush Chawla,not out,2,2,2,0,0,100.00,48
Virat Kohli,c Ahmed b Mukesh Kumar,55,46,74,5,0,119.56,49
Faf du Plessis (c),c AR Patel b Marsh,45,32,46,5,1,140.62,49
Glenn Maxwell,c †Salt b Marsh,0,1,2,0,0,0.00,49
Mahipal Lomror,not out,54,29,53,6,3,186.20,49
Dinesh Karthik †,c Warner b Ahmed,11,9,22,0,1,122.22,49
Anuj Rawat,not out,8,3,5,0,1,266.66,49
Wriddhiman Saha †,c sub (PN Mankad) b Avesh Khan,81,43,59,10,4,188.37,50
Shubman Gill,not out,94,51,96,2,7,184.31,50
Hardik Pandya (c),c Pandya b Mohsin Khan,25,15,20,1,2,166.66,50
David Miller,not out,21,12,19,2,1,175.00,50
Yashasvi Jaiswal,c Natarajan b Jansen,35,18,27,5,2,194.44,51
Jos Buttler,lbw b Kumar,95,59,84,10,4,161.01,51
Sanju Samson (c)†,not out,66,38,66,4,5,173.68,51
Shimron Hetmyer,not out,7,5,8,0,0,140.00,51
Prabhsimran Singh,c †Rahmanullah Gurbaz b Harshit Rana,12,8,11,3,0,150.00,52
Shikhar Dhawan (c),c Arora b Rana,57,47,80,9,1,121.27,52
Bhanuka Rajapaksa,c †Rahmanullah Gurbaz b Harshit Rana,0,3,11,0,0,0.00,52
Liam Livingstone,lbw b Varun,15,9,16,3,0,166.66,52
Jitesh Sharma †,c †Rahmanullah Gurbaz b Varun,21,18,34,0,2,116.66,52
Sam Curran,c †Rahmanullah Gurbaz b Suyash Sharma,4,9,25,0,0,44.44,52
Rishi Dhawan,b Varun,19,11,12,1,1,172.72,52
M Shahrukh Khan,not out,21,8,20,3,1,262.50,52
Harpreet Brar,not out,17,9,17,2,1,188.88,52
Virat Kohli,c †Ishan Kishan b Behrendorff,1,4,7,0,0,25.00,53
Faf du Plessis (c),c sub (Vishnu Vinod) b Green,65,41,78,5,3,158.53,53
Anuj Rawat,c Green b Behrendorff,6,4,8,1,0,150.00,53
Glenn Maxwell,c Wadhera b Behrendorff,68,33,53,8,4,206.06,53
Mahipal Lomror,b Kartikeya,1,3,6,0,0,33.33,53
Dinesh Karthik †,c Wadhera b Jordan,30,18,31,4,1,166.66,53
Kedar Jadhav,not out,12,10,33,1,0,120.00,53
Wanindu Hasaranga,not out,12,8,11,2,0,150.00,53
Ruturaj Gaikwad,c Aman Hakim Khan b AR Patel,24,18,39,4,0,133.33,54
Devon Conway,lbw b AR Patel,10,13,28,1,0,76.92,54
Ajinkya Rahane,c & b Lalit Yadav,21,20,31,2,0,105.00,54
Moeen Ali,c Marsh b Kuldeep Yadav,7,12,13,0,0,58.33,54
Shivam Dube,c Warner b Marsh,25,12,24,0,3,208.33,54
Ambati Rayudu,c RV Patel b Ahmed,23,17,28,1,1,135.29,54
Ravindra Jadeja,c AR Patel b Marsh,21,16,30,1,1,131.25,54
MS Dhoni (c)†,c Warner b Marsh,20,9,22,1,2,222.22,54
Deepak Chahar,not out,1,2,6,0,0,50.00,54
Tushar Deshpande,not out,0,1,2,0,0,0.00,54
Jason Roy,c Hetmyer b Boult,10,8,14,2,0,125.00,55
Rahmanullah Gurbaz †,c Sandeep Sharma b Boult,18,12,23,1,2,150.00,55
Venkatesh Iyer,c Boult b Chahal,57,42,68,2,4,135.71,55
Nitish Rana (c),c Hetmyer b Chahal,22,17,26,2,0,129.41,55
Andre Russell,c Ashwin b Asif,10,10,19,0,1,100.00,55
Rinku Singh,c Root b Chahal,16,18,30,0,1,88.88,55
Shardul Thakur,lbw b Chahal,1,2,5,0,0,50.00,55
Anukul Roy,not out,6,6,20,0,0,100.00,55
Sunil Narine,c Root b Sandeep Sharma,6,5,9,1,0,120.00,55
Ishan Kishan †,lbw b Rashid Khan,31,20,38,4,1,155.00,56
Rohit Sharma (c),c Tewatia b Rashid Khan,29,18,34,3,2,161.11,56
Suryakumar Yadav,not out,103,49,73,11,6,210.20,56
Nehal Wadhera,b Rashid Khan,15,7,12,1,1,214.28,56
Vishnu Vinod,c Manohar b Sharma,30,20,36,2,2,150.00,56
Tim David,c & b Rashid Khan,5,3,6,1,0,166.66,56
Cameron Green,not out,3,3,18,0,0,100.00,56
Anmolpreet Singh,c & b Mishra,36,27,46,7,0,133.33,57
Abhishek Sharma,c †de Kock b Yudhvir Singh,7,5,14,1,0,140.00,57
Rahul Tripathi,c †de Kock b Yash Thakur,20,13,19,4,0,153.84,57
Aiden Markram (c),st †de Kock b Pandya,28,20,28,2,1,140.00,57
Heinrich Klaasen †,c Mankad b Avesh Khan,47,29,52,3,3,162.06,57
Glenn Phillips,b Pandya,0,1,2,0,0,0.00,57
Abdul Samad,not out,37,25,41,1,4,148.00,57
Bhuvneshwar Kumar,not out,2,1,6,0,0,200.00,57
Prabhsimran Singh,b Mukesh Kumar,103,65,87,10,6,158.46,58
Shikhar Dhawan (c),c Rossouw b Sharma,7,5,9,0,1,140.00,58
Liam Livingstone,b Sharma,4,5,15,1,0,80.00,58
Jitesh Sharma †,b Patel,5,5,8,1,0,100.00,58
Sam Curran,c Aman Hakim Khan b Dubey,20,24,39,1,0,83.33,58
Harpreet Brar,c Marsh b Kuldeep Yadav,2,5,9,0,0,40.00,58
M Shahrukh Khan,run out (†Salt/Ahmed),2,4,22,0,0,50.00,58
Sikandar Raza,not out,11,7,11,0,1,157.14,58
Rishi Dhawan,not out,0,0,1,0,0,0,58
Virat Kohli,c Jaiswal b Asif,18,19,31,1,0,94.73,59
Faf du Plessis (c),c Jaiswal b Asif,55,44,65,3,2,125.00,59
Glenn Maxwell,b Sandeep Sharma,54,33,51,5,3,163.63,59
Mahipal Lomror,c Jurel b Zampa,1,2,5,0,0,50.00,59
Dinesh Karthik †,lbw b Zampa,0,2,3,0,0,0.00,59
Michael Bracewell,not out,9,9,21,0,0,100.00,59
Anuj Rawat,not out,29,11,12,3,2,263.63,59
Ruturaj Gaikwad,c Arora b Varun,17,13,19,2,0,130.76,60
Devon Conway,c Singh b Thakur,30,28,51,3,0,107.14,60
Ajinkya Rahane,c Roy b Varun,16,11,24,1,1,145.45,60
Ambati Rayudu,b Narine,4,7,14,0,0,57.14,60
Shivam Dube,not out,48,34,55,1,3,141.17,60
Moeen Ali,b Narine,1,2,5,0,0,50.00,60
Ravindra Jadeja,c Varun b Arora,20,24,43,0,1,83.33,60
MS Dhoni (c)†,not out,2,3,4,0,0,66.66,60
Wriddhiman Saha †,c Abhishek Sharma b Kumar,0,3,4,0,0,0.00,61
Shubman Gill,c Abdul Samad b Kumar,101,58,100,13,1,174.13,61
Sai Sudharsan,c Natarajan b Jansen,47,36,70,6,1,130.55,61
Hardik Pandya (c),c Tripathi b Kumar,8,6,7,1,0,133.33,61
David Miller,c Markram b Natarajan,7,5,8,1,0,140.00,61
Rahul Tewatia,c Jansen b Fazalhaq Farooqi,3,3,7,0,0,100.00,61
Dasun Shanaka,not out,9,7,12,1,0,128.57,61
Rashid Khan,c †Klaasen b Kumar,0,1,2,0,0,0.00,61
Noor Ahmad,run out (†Klaasen/Kumar),0,1,1,0,0,0.00,61
Mohammed Shami,c Jansen b Kumar,0,1,3,0,0,0.00,61
Mohit Sharma,not out,0,1,1,0,0,0.00,61
Deepak Hooda,c David b Behrendorff,5,7,12,0,0,71.42,62
Quinton de Kock †,c †Ishan Kishan b Chawla,16,15,31,0,2,106.66,62
Prerak Mankad,c †Ishan Kishan b Behrendorff,0,1,2,0,0,0.00,62
Krunal Pandya (c),retired hurt,49,42,71,1,1,116.66,62
Marcus Stoinis,not out,89,47,80,4,8,189.36,62
Nicholas Pooran,not out,8,8,25,1,0,100.00,62
David Warner (c),c Dhawan b Curran,46,31,53,5,2,148.38,63
Prithvi Shaw,c Taide b Curran,54,38,74,7,1,142.10,63
Rilee Rossouw,not out,82,37,44,6,6,221.62,63
Phil Salt †,not out,26,14,21,2,2,185.71,63
Abhishek Sharma,c Lomror b Bracewell,11,14,22,2,0,78.57,64
Rahul Tripathi,c Patel b Bracewell,15,12,25,2,1,125.00,64
Aiden Markram (c),b Shahbaz Ahmed,18,20,37,0,0,90.00,64
Heinrich Klaasen †,b Patel,104,51,62,8,6,203.92,64
Harry Brook,not out,27,19,37,2,1,142.10,64
Glenn Phillips,c Parnell b Mohammed Siraj,5,4,10,1,0,125.00,64
Prabhsimran Singh,c & b Boult,2,2,3,0,0,100.00,65
Shikhar Dhawan (c),lbw b Zampa,17,12,31,2,1,141.66,65
Atharva Taide,c Padikkal b Saini,19,12,19,3,1,158.33,65
Liam Livingstone,b Saini,9,13,16,1,0,69.23,65
Sam Curran,not out,49,31,72,4,2,158.06,65
Jitesh Sharma †,c sub (D Ferreira) b Saini,44,28,36,3,3,157.14,65
M Shahrukh Khan,not out,41,23,31,4,2,178.26,65
Ruturaj Gaikwad,c Rossouw b Sakariya,79,50,68,3,7,158.00,66
Devon Conway,c Aman Hakim Khan b Nortje,87,52,90,11,3,167.30,66
Shivam Dube,c Lalit Yadav b Ahmed,22,9,21,0,3,244.44,66
MS Dhoni (c)†,not out,5,4,14,0,0,125.00,66
Ravindra Jadeja,not out,20,7,12,3,1,285.71,66
Karan Sharma,c Thakur b Harshit Rana,3,5,15,0,0,60.00,67
Quinton de Kock †,c Russell b Varun,28,27,55,0,2,103.70,67
Prerak Mankad,c Harshit Rana b Arora,26,20,22,5,0,130.00,67
Marcus Stoinis,c Iyer b Arora,0,2,5,0,0,0.00,67
Krunal Pandya (c),c Singh b Narine,9,8,13,0,1,112.50,67
Ayush Badoni,c Thakur b Narine,25,21,42,2,1,119.04,67
Nicholas Pooran,c Iyer b Thakur,58,30,42,4,5,193.33,67
Krishnappa Gowtham,not out,11,4,9,1,1,275.00,67
Ravi Bishnoi,b Thakur,2,2,3,0,0,100.00,67
Naveen-ul-Haq,not out,2,3,3,0,0,66.66,67
Vivrant Sharma,c sub (Ramandeep Singh) b Madhwal,69,47,69,9,2,146.80,68
Mayank Agarwal,c †Ishan Kishan b Madhwal,83,46,84,8,4,180.43,68
Heinrich Klaasen †,b Madhwal,18,13,31,2,0,138.46,68
Glenn Phillips,c Kartikeya b Jordan,1,4,8,0,0,25.00,68
Aiden Markram (c),not out,13,7,19,0,1,185.71,68
Harry Brook,b Madhwal,0,1,2,0,0,0.00,68
Sanvir Singh,not out,4,3,8,1,0,133.33,68
Virat Kohli,not out,101,61,102,13,1,165.57,69
Faf du Plessis (c),c Tewatia b Noor Ahmad,28,19,35,5,0,147.36,69
Glenn Maxwell,b Rashid Khan,11,5,7,1,1,220.00,69
Mahipal Lomror,st †Saha b Noor Ahmad,1,3,5,0,0,33.33,69
Michael Bracewell,c & b Mohammed Shami,26,16,26,5,0,162.50,69
Dinesh Karthik,c †Saha b Yash Dayal,0,1,2,0,0,0.00,69
Anuj Rawat †,not out,23,15,30,1,1,153.33,69
Ruturaj Gaikwad,c Miller b Sharma,60,44,48,7,1,136.36,70
Devon Conway,c Rashid Khan b Mohammed Shami,40,34,74,4,0,117.64,70
Shivam Dube,b Noor Ahmad,1,3,4,0,0,33.33,70
Ajinkya Rahane,c Shubman Gill b Nalkande,17,10,15,0,1,170.00,70
Ambati Rayudu,c Shanaka b Rashid Khan,17,9,15,1,1,188.88,70
Ravindra Jadeja,b Mohammed Shami,22,16,25,2,0,137.50,70
MS Dhoni (c)†,c Pandya b Sharma,1,2,4,0,0,50.00,70
Moeen Ali,not out,9,4,7,0,1,225.00,70
Ishan Kishan †,c †Pooran b Yash Thakur,15,12,18,3,0,125.00,71
Rohit Sharma (c),c Badoni b Naveen-ul-Haq,11,10,11,1,1,110.00,71
Cameron Green,b Naveen-ul-Haq,41,23,38,6,1,178.26,71
Suryakumar Yadav,c Gowtham b Naveen-ul-Haq,33,20,29,2,2,165.00,71
Tilak Varma,c Hooda b Naveen-ul-Haq,26,22,43,0,2,118.18,71
Tim David,c Hooda b Yash Thakur,13,13,29,1,0,100.00,71
Nehal Wadhera,c Ravi Bishnoi b Yash Thakur,23,12,23,2,2,191.66,71
Chris Jordan,c Hooda b Mohsin Khan,4,7,7,0,0,57.14,71
Hrithik Shokeen,not out,0,1,6,0,0,0.00,71
Wriddhiman Saha †,st †Ishan Kishan b Chawla,18,16,31,3,0,112.50,72
Shubman Gill,c David b Madhwal,129,60,86,7,10,215.00,72
Sai Sudharsan,retired out,43,31,68,5,1,138.70,72
Hardik Pandya (c),not out,28,13,20,2,2,215.38,72
Rashid Khan,not out,5,2,6,1,0,250.00,72
Wriddhiman Saha †,c †Dhoni b Chahar,54,39,63,5,1,138.46,73
Shubman Gill,st †Dhoni b Jadeja,39,20,34,7,0,195.00,73
Sai Sudharsan,lbw b Pathirana,96,47,58,8,6,204.25,73
Hardik Pandya (c),not out,21,12,32,0,2,175.00,73
Rashid Khan,c Gaikwad b Pathirana,0,2,2,0,0,0.00,73
