BOWLING,over,Mins,Runs,Wicket,Economy,Zeros,fours,sixs,Wide,Noball,counter
Ravindra Jadeja,4,0,37.0,0,9.25,3,0,3,0,0,24
Matheesha Pathirana,4,0,42.0,2,10.50,9,3,3,2,0,24
Moeen Ali,1,0,13.0,1,13.00,3,0,2,0,0,24
Arjun Tendulkar,2.5,0,18.0,1,6.35,9,2,0,3,0,25
Jason Behrendorff,4,0,37.0,2,9.25,7,5,0,1,0,25
Riley Meredith,4,0,33.0,2,8.25,10,3,1,3,0,25
Hrithik Shokeen,1,0,12.0,0,12.00,1,0,1,0,0,25
Piyush Chawla,4,0,43.0,2,10.75,5,4,2,0,0,25
Cameron Green,4,0,29.0,1,7.25,9,4,0,1,0,25
Naveen-ul-Haq,4,0,19.0,0,4.75,11,0,1,1,0,26
Yudhvir Singh,2,0,27.0,0,13.50,6,2,2,1,0,26
Avesh Khan,4,0,25.0,3,6.25,12,4,0,0,0,26
Marcus Stoinis,4,0,28.0,2,7.00,11,3,1,0,0,26
Ravi Bishnoi,4,0,25.0,0,6.25,8,2,0,0,1,26
Amit Mishra,2,0,15.0,0,7.50,3,2,0,0,0,26
Mohammed Siraj,4,0,21.0,4,5.25,13,3,0,0,0,27
Wayne Parnell,3,0,32.0,1,10.66,9,1,4,0,0,27
Wanindu Hasaranga,4,0,39.0,2,9.75,7,2,3,0,0,27
Vijaykumar Vyshak,3,0,29.0,0,9.66,6,2,2,1,0,27
Glenn Maxwell,1,0,5.0,0,5.00,1,0,0,0,0,27
Harshal Patel,3.2,0,22.0,1,6.60,10,1,1,1,1,27
Umesh Yadav,1,0,6.0,0,6.00,3,1,0,0,0,28
Kulwant Khejroliya,1.2,0,20.0,0,15.00,2,3,0,0,1,28
Andre Russell,1,0,12.0,0,12.00,3,2,0,0,1,28
Sunil Narine,4,0,36.0,0,9.00,7,6,0,1,0,28
Varun Chakravarthy,4,1,16.0,2,4.00,14,2,0,0,0,28
Anukul Roy,4,0,19.0,2,4.75,13,2,0,2,0,28
Nitish Rana,4,0,17.0,2,4.25,10,1,0,0,0,28
Bhuvneshwar Kumar,2,0,10.0,0,5.00,7,1,0,0,0,29
Marco Jansen,3,0,37.0,0,12.33,5,6,1,0,0,29
Aiden Markram,1,0,11.0,0,11.00,2,2,0,0,0,29
Washington Sundar,2.4,0,16.0,0,6.00,4,1,0,0,0,29
Mayank Markande,4,0,23.0,2,5.75,8,2,0,0,0,29
Umran Malik,3,0,18.0,0,6.00,8,2,0,0,0,29
Mayank Dagar,3,0,21.0,0,7.00,5,2,0,0,0,29
Mohammed Shami,3,1,18.0,0,6.00,9,3,0,0,0,30
Jayant Yadav,4,0,26.0,0,6.50,8,2,0,0,0,30
Rashid Khan,4,0,33.0,1,8.25,9,4,1,0,0,30
Mohit Sharma,3,0,17.0,2,5.66,5,1,0,0,0,30
Noor Ahmad,4,0,18.0,2,4.50,13,1,0,0,0,30
Hardik Pandya,1,0,7.0,0,7.00,2,1,0,0,0,30
Rahul Tewatia,1,0,8.0,0,8.00,4,0,1,1,0,30
Matthew Short,1,0,7.0,0,7.00,3,1,0,1,0,31
Arshdeep Singh,4,0,29.0,4,7.25,12,2,2,1,0,31
Harpreet Brar,2,0,15.0,0,7.50,5,1,1,0,0,31
Sam Curran,3,0,41.0,0,13.66,2,3,3,1,0,31
Nathan Ellis,4,0,44.0,1,11.00,5,2,3,0,0,31
Rahul Chahar,4,0,42.0,0,10.50,4,4,2,0,0,31
Liam Livingstone,2,0,23.0,1,11.50,2,4,0,0,0,31
Mohammed Siraj,4,0,39.0,1,9.75,8,4,1,3,0,32
David Willey,4,0,26.0,1,6.50,11,2,1,1,0,32
Vijaykumar Vyshak,2,0,24.0,0,12.00,4,5,0,1,0,32
Glenn Maxwell,2,0,25.0,0,12.50,3,2,2,0,0,32
Harshal Patel,4,0,32.0,3,8.00,8,3,1,1,0,32
Wanindu Hasaranga,4,0,32.0,0,8.00,5,2,1,0,0,32
Akash Singh,4,0,29.0,1,7.25,13,4,1,1,0,33
Tushar Deshpande,4,0,43.0,2,10.75,12,3,3,4,0,33
Maheesh Theekshana,4,0,32.0,2,8.00,8,3,1,1,0,33
Moeen Ali,1,0,20.0,1,20.00,1,0,3,0,0,33
Ravindra Jadeja,3,0,34.0,1,11.33,5,2,3,0,0,33
Matheesha Pathirana,4,0,27.0,1,6.75,11,2,1,3,0,33
Ishant Sharma,3,0,18.0,1,6.00,8,2,0,0,0,34
Anrich Nortje,4,0,33.0,2,8.25,10,4,1,0,0,34
Mukesh Kumar,3,0,27.0,0,9.00,4,4,0,0,0,34
Axar Patel,4,0,21.0,2,5.25,8,1,0,0,0,34
Kuldeep Yadav,4,0,22.0,1,5.50,6,1,0,0,0,34
Mitchell Marsh,2,0,16.0,0,8.00,3,1,0,0,1,34
Mohammed Shami,4,0,18.0,0,4.50,14,2,0,1,0,35
Hardik Pandya,2,0,10.0,1,5.00,8,0,1,0,0,35
Rashid Khan,4,0,27.0,2,6.75,10,2,1,0,0,35
Noor Ahmad,4,0,37.0,3,9.25,10,2,3,0,0,35
Mohit Sharma,4,0,38.0,2,9.50,7,1,3,0,0,35
Josh Little,2,0,18.0,0,9.00,2,1,1,0,0,35
Vaibhav Arora,2,0,22.0,0,11.00,3,3,0,1,0,36
Umesh Yadav,1,0,19.0,0,19.00,0,1,2,0,0,36
Suyash Sharma,4,0,30.0,2,7.50,5,3,0,1,0,36
Varun Chakravarthy,4,0,27.0,3,6.75,9,2,1,0,0,36
Andre Russell,4,0,29.0,2,7.25,11,1,2,0,0,36
Sunil Narine,4,0,41.0,0,10.25,2,1,2,0,0,36
Nitish Rana,1,0,8.0,0,8.00,1,1,0,0,0,36
Sandeep Sharma,4,0,24.0,0,6.00,10,3,0,0,0,37
Kuldip Yadav,3,0,18.0,1,6.00,4,1,0,0,0,37
Jason Holder,4,0,49.0,0,12.25,4,4,3,1,0,37
Ravichandran Ashwin,4,0,35.0,2,8.75,7,1,2,0,0,37
Adam Zampa,3,0,22.0,3,7.33,7,2,1,0,0,37
Yuzvendra Chahal,2,0,21.0,0,10.50,3,2,1,0,0,37
Marcus Stoinis,1.5,0,21.0,1,11.45,5,2,1,4,0,38
Kyle Mayers,1,0,4.0,0,4.00,5,1,0,0,0,38
Ayush Badoni,0.1,0,0.0,0,0.00,1,0,0,0,0,38
Naveen-ul-Haq,4,0,30.0,3,7.50,11,2,0,1,1,38
Avesh Khan,2,0,28.0,0,14.00,1,3,1,0,0,38
Amit Mishra,2,0,23.0,0,11.50,1,2,1,0,0,38
Ravi Bishnoi,4,0,41.0,2,10.25,9,4,2,0,1,38
Yash Thakur,3.5,0,37.0,4,9.65,9,3,2,1,0,38
Krunal Pandya,1,0,13.0,0,13.00,2,1,1,1,0,38
Harshit Rana,3,0,25.0,1,8.33,6,4,0,1,0,39
Andre Russell,3,0,29.0,1,9.66,6,3,1,1,0,39
Varun Chakravarthy,4,0,42.0,0,10.50,7,3,3,0,0,39
Suyash Sharma,4,0,37.0,0,9.25,7,3,2,0,0,39
Sunil Narine,3,0,24.0,1,8.00,3,1,1,0,0,39
Nitish Rana,0.5,0,14.0,0,16.80,0,1,1,1,0,39
Bhuvneshwar Kumar,4,0,45.0,1,11.25,5,3,2,3,0,40
Akeal Hosein,4,0,40.0,1,10.00,6,4,2,0,0,40
T Natarajan,4,0,34.0,1,8.50,4,2,1,0,0,40
Umran Malik,1,0,22.0,0,22.00,0,2,2,0,0,40
Mayank Markande,4,0,20.0,2,5.00,7,1,0,0,0,40
Abhishek Sharma,3,0,26.0,1,8.66,5,2,1,0,0,40
Akash Singh,3,0,35.0,0,11.66,4,3,2,1,0,41
Tushar Deshpande,4,0,49.0,3,12.25,10,3,4,2,0,41
Maheesh Theekshana,4,0,36.0,0,9.00,5,4,0,1,0,41
Ravindra Jadeja,4,0,32.0,2,8.00,8,1,2,0,0,41
Moeen Ali,1,0,10.0,0,10.00,2,0,1,0,0,41
Matheesha Pathirana,4,0,32.0,1,8.00,6,2,0,1,0,41
Trent Boult,4,0,43.0,1,10.75,8,7,0,2,0,42
Sandeep Sharma,4,0,35.0,1,8.75,5,3,1,2,0,42
Ravichandran Ashwin,4,0,27.0,2,6.75,8,0,2,1,0,42
Yuzvendra Chahal,3,0,32.0,0,10.66,5,3,2,0,0,42
Jason Holder,3.3,0,55.0,0,15.71,4,5,4,2,0,42
Kuldeep Sen,1,0,20.0,0,20.00,2,3,1,0,1,42
