BOWLING,over,Mins,Runs,Wicket,Economy,Zeros,fours,sixs,Wide,Noball,counter
Yuzvendra Chahal,4,0,40.0,0,10.00,9,3,3,1,0,65
Khaleel Ahmed,4,0,45.0,1,11.25,9,4,3,2,1,66
Lalit Yadav,2,0,32.0,0,16.00,1,3,2,2,0,66
Axar Patel,3,0,32.0,0,10.66,3,0,3,0,0,66
Anrich Nortje,4,0,43.0,1,10.75,8,4,3,0,0,66
Chetan Sakariya,4,0,36.0,1,9.00,9,5,0,3,1,66
Kuldeep Yadav,3,0,34.0,0,11.33,2,1,3,0,0,66
Harshit Rana,3,0,21.0,1,7.00,11,3,1,0,0,67
Vaibhav Arora,4,0,30.0,2,7.50,9,1,1,3,1,67
Varun Chakravarthy,4,0,38.0,1,9.50,10,4,2,0,0,67
Nitish Rana,1,0,3.0,0,3.00,4,0,0,0,0,67
Shardul Thakur,2,0,27.0,2,13.50,3,0,3,1,1,67
Sunil Narine,4,0,28.0,2,7.00,8,2,1,1,0,67
Suyash Sharma,1,0,12.0,0,12.00,2,1,1,0,0,67
Andre Russell,1,0,12.0,0,12.00,2,1,1,0,0,67
Jason Behrendorff,3,0,36.0,0,12.00,7,4,2,3,0,68
Cameron Green,1,0,2.0,0,2.00,4,0,0,0,0,68
Chris Jordan,4,0,42.0,1,10.50,6,5,1,1,0,68
Akash Madhwal,4,0,37.0,4,9.25,7,4,1,0,1,68
Piyush Chawla,4,0,39.0,0,9.75,4,3,2,0,0,68
Kumar Kartikeya,4,0,39.0,0,9.75,6,4,1,1,0,68
Mohammed Shami,4,0,39.0,1,9.75,9,7,0,1,0,69
Yash Dayal,4,0,39.0,1,9.75,7,5,1,0,0,69
Rashid Khan,4,0,24.0,1,6.00,5,1,0,0,0,69
Noor Ahmad,4,0,39.0,2,9.75,6,4,1,2,0,69
Mohit Sharma,4,0,54.0,0,13.50,2,8,1,2,0,69
Mohammed Shami,4,0,28.0,2,7.00,10,2,1,0,1,70
Darshan Nalkande,4,0,44.0,1,11.00,9,4,2,0,1,70
Rashid Khan,4,0,37.0,1,9.25,5,2,1,0,0,70
Noor Ahmad,4,0,29.0,1,7.25,6,3,0,0,0,70
Mohit Sharma,4,0,31.0,2,7.75,4,3,0,0,0,70
Krunal Pandya,4,0,38.0,0,9.50,7,5,1,0,0,71
Krishnappa Gowtham,1,0,8.0,0,8.00,4,2,0,0,0,71
Naveen-ul-Haq,4,0,38.0,4,9.50,10,3,2,3,0,71
Yash Thakur,4,0,34.0,3,8.50,12,3,2,2,0,71
Mohsin Khan,3,0,24.0,1,8.00,9,1,2,0,0,71
Ravi Bishnoi,4,0,30.0,0,7.50,4,1,1,1,0,71
Jason Behrendorff,4,0,28.0,0,7.00,8,4,0,0,0,72
Cameron Green,3,0,35.0,0,11.66,4,3,2,0,0,72
Akash Madhwal,4,0,52.0,1,13.00,7,3,4,0,2,72
Chris Jordan,4,0,56.0,0,14.00,6,6,3,4,0,72
Piyush Chawla,3,0,45.0,1,15.00,0,2,3,1,0,72
Kumar Kartikeya,2,0,15.0,0,7.50,2,0,1,0,0,72
