batting,out,runs,balls,mins,fours,sixs,SR,counter
Harpreet Singh,c sub (PN Mankad) b Pandya,22,22,41,3,0,100.00,21
Sikandar Raza,c Stoinis b Ravi Bishnoi,57,41,62,4,3,139.02,21
Sam Curran (c),c Pandya b Ravi Bishnoi,6,6,15,1,0,100.00,21
Jitesh Sharma †,c Rahul b Wood,2,4,10,0,0,50.00,21
M Shahrukh Khan,not out,23,10,26,1,2,230.00,21
Harpreet Brar,c †Pooran b Wood,6,4,10,1,0,150.00,21
Kagiso Rabada,not out,0,1,4,0,0,0.00,21
Rohit Sharma,c Yadav b Suyash Sharma,20,13,25,1,2,153.84,22
Ishan Kishan †,b Varun,58,25,39,5,5,232.00,22
Suryakumar Yadav (c),c †Rahmanullah Gurbaz b Thakur,43,25,63,4,3,172.00,22
Tilak Varma,b Suyash Sharma,30,25,32,3,1,120.00,22
Tim David,not out,24,13,27,1,2,184.61,22
Nehal Wadhera,c †Rahmanullah Gurbaz b Ferguson,6,4,7,1,0,150.00,22
Cameron Green,not out,1,1,3,0,0,100.00,22
Yashasvi Jaiswal,c Shubman Gill b Pandya,1,7,9,0,0,14.28,23
Jos Buttler,b Mohammed Shami,0,5,14,0,0,0.00,23
Devdutt Padikkal,c Sharma b Rashid Khan,26,25,38,2,2,104.00,23
Sanju Samson (c)†,c Miller b Noor Ahmad,60,32,61,3,6,187.50,23
Riyan Parag,c Miller b Rashid Khan,5,7,10,0,0,71.42,23
Shimron Hetmyer,not out,56,26,44,2,5,215.38,23
Dhruv Jurel,c Sharma b Mohammed Shami,18,10,19,2,1,180.00,23
Ravichandran Ashwin,c Tewatia b Mohammed Shami,10,3,4,1,1,333.33,23
Trent Boult,not out,0,1,3,0,0,0.00,23
Virat Kohli,b Akash Singh,6,4,3,1,0,150.00,24
Faf du Plessis (c),c †Dhoni b Ali,62,33,64,5,4,187.87,24
Mahipal Lomror,c Gaikwad b Deshpande,0,5,7,0,0,0.00,24
Glenn Maxwell,c †Dhoni b Theekshana,76,36,46,3,8,211.11,24
Shahbaz Ahmed,c Gaikwad b Pathirana,12,10,29,0,1,120.00,24
Dinesh Karthik †,c Theekshana b Deshpande,28,14,15,3,1,200.00,24
Suyash Prabhudessai,c Jadeja b Pathirana,19,11,20,0,2,172.72,24
Wayne Parnell,c Dube b Deshpande,2,5,7,0,0,40.00,24
Wanindu Hasaranga de Silva,not out,2,2,10,0,0,100.00,24
Harry Brook,c Yadav b Behrendorff,9,7,8,2,0,128.57,25
Mayank Agarwal,c David b Meredith,48,41,76,4,1,117.07,25
Rahul Tripathi,c †Ishan Kishan b Behrendorff,7,5,13,1,0,140.00,25
Aiden Markram (c),c Shokeen b Green,22,17,26,1,1,129.41,25
Abhishek Sharma,c David b Chawla,1,2,5,0,0,50.00,25
Heinrich Klaasen †,c David b Chawla,36,16,24,4,2,225.00,25
Abdul Samad,run out (Shokeen/†Ishan Kishan),9,12,34,1,0,75.00,25
Marco Jansen,c David b Meredith,13,6,11,3,0,216.66,25
Washington Sundar,run out (David),10,6,8,2,0,166.66,25
Bhuvneshwar Kumar,c Sharma b Tendulkar,2,5,16,0,0,40.00,25
Mayank Markande,not out,2,2,4,0,0,100.00,25
Yashasvi Jaiswal,c Avesh Khan b Stoinis,44,35,60,4,2,125.71,26
Jos Buttler,c Ravi Bishnoi b Stoinis,40,41,73,4,1,97.56,26
Sanju Samson (c)†,run out (Mishra/†Pooran),2,4,8,0,0,50.00,26
Devdutt Padikkal,c †Pooran b Avesh Khan,26,21,36,4,0,123.80,26
Shimron Hetmyer,c Rahul b Avesh Khan,2,5,12,0,0,40.00,26
Riyan Parag,not out,15,12,24,1,1,125.00,26
Dhruv Jurel,c Hooda b Avesh Khan,0,1,2,0,0,0.00,26
Ravichandran Ashwin,not out,3,2,3,0,0,150.00,26
Atharva Taide,lbw b Mohammed Siraj,4,2,5,1,0,200.00,27
Prabhsimran Singh,b Parnell,46,30,59,3,4,153.33,27
Matthew Short,b de Silva,8,7,9,0,1,114.28,27
Liam Livingstone,lbw b Mohammed Siraj,2,4,7,0,0,50.00,27
Harpreet Singh,run out (Mohammed Siraj),13,9,12,1,1,144.44,27
Sam Curran (c),run out (de Silva),10,12,18,1,0,83.33,27
Jitesh Sharma †,c Shahbaz Ahmed b Patel,41,27,48,2,3,151.85,27
M Shahrukh Khan,st †Karthik b de Silva,7,5,9,0,1,140.00,27
Harpreet Brar,b Mohammed Siraj,13,13,22,1,0,100.00,27
Nathan Ellis,b Mohammed Siraj,1,2,5,0,0,50.00,27
Arshdeep Singh,not out,0,0,3,0,0,0,27
David Warner (c),lbw b Varun,57,41,58,11,0,139.02,28
Prithvi Shaw,b Varun,13,11,22,2,0,118.18,28
Mitchell Marsh,c sub (D Wiese) b Rana,2,9,14,0,0,22.22,28
Phil Salt †,c & b AS Roy,5,3,6,1,0,166.66,28
Manish Pandey,c Singh b AS Roy,21,23,34,2,0,91.30,28
Axar Patel,not out,19,22,37,1,0,86.36,28
Aman Hakim Khan,b Rana,0,2,4,0,0,0.00,28
Lalit Yadav,not out,4,7,21,0,0,57.14,28
Ruturaj Gaikwad,run out (Umran Malik),35,30,50,2,0,116.66,29
Devon Conway,not out,77,57,84,12,1,135.08,29
Ajinkya Rahane,c Markram b Markande,9,10,15,0,0,90.00,29
Ambati Rayudu,b Markande,9,9,11,1,0,100.00,29
