BOWLING,over,Mins,Runs,Wicket,Economy,Zeros,fours,sixs,Wide,Noball,counter,bowl_team,Date,Season,Toss_team,First_innings,second_innings,bat_field,Team1_Won,Team2_lost,Player Of The Match,Stadium,Umpires1,Umpires2,TV_Umpire,Res_Umpire,Match_Ref,ImpactPlayers1,Replace1Player1,ImpactPlayers2,ReplacePlayer2,impactTeam1,impactTeam2,T20_debut_1,T20_debut_2
Axar Patel,4.0,0,21.0,2,5.25,8,1,0,0,0,34,Delhi Capitals,2023-04-24,2023,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,Sunrisers Hyderabad,Axar Patel,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Jayaraman Madanagopal,Rod Tucker,Ulhas Gandhe,Pranav Joshi,Rajiv Seth,Mukesh Kumar,Sarfaraz Khan,Rahul Tripathi,T Natarajan,Delhi Capitals,Sunrisers Hyderabad,,
Kuldeep Yadav,4.0,0,22.0,1,5.5,6,1,0,0,0,34,Delhi Capitals,2023-04-24,2023,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,Sunrisers Hyderabad,Axar Patel,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Jayaraman Madanagopal,Rod Tucker,Ulhas Gandhe,Pranav Joshi,Rajiv Seth,Mukesh Kumar,Sarfaraz Khan,Rahul Tripathi,T Natarajan,Delhi Capitals,Sunrisers Hyderabad,,
Mitchell Marsh,2.0,0,16.0,0,8.0,3,1,0,0,1,34,Delhi Capitals,2023-04-24,2023,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,Sunrisers Hyderabad,Axar Patel,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Jayaraman Madanagopal,Rod Tucker,Ulhas Gandhe,Pranav Joshi,Rajiv Seth,Mukesh Kumar,Sarfaraz Khan,Rahul Tripathi,T Natarajan,Delhi Capitals,Sunrisers Hyderabad,,
Arjun Tendulkar,2.0,0,9.0,1,4.5,7,0,0,0,0,35,Mumbai Indians,2023-04-25,2023,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Gujarat Titans,Mumbai Indians,Abhinav Manohar,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Josh Little,Shubman Gill,Tilak Varma,Kumar Kartikeya,Gujarat Titans,Mumbai Indians,,
Jason Behrendorff,4.0,0,37.0,1,9.25,8,2,2,2,0,35,Mumbai Indians,2023-04-25,2023,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Gujarat Titans,Mumbai Indians,Abhinav Manohar,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Josh Little,Shubman Gill,Tilak Varma,Kumar Kartikeya,Gujarat Titans,Mumbai Indians,,
Riley Meredith,4.0,0,49.0,1,12.25,6,4,3,2,0,35,Mumbai Indians,2023-04-25,2023,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Gujarat Titans,Mumbai Indians,Abhinav Manohar,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Josh Little,Shubman Gill,Tilak Varma,Kumar Kartikeya,Gujarat Titans,Mumbai Indians,,
Cameron Green,2.0,0,39.0,0,19.5,0,2,4,0,0,35,Mumbai Indians,2023-04-25,2023,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Gujarat Titans,Mumbai Indians,Abhinav Manohar,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Josh Little,Shubman Gill,Tilak Varma,Kumar Kartikeya,Gujarat Titans,Mumbai Indians,,
Piyush Chawla,4.0,0,34.0,2,8.5,7,3,1,1,0,35,Mumbai Indians,2023-04-25,2023,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Gujarat Titans,Mumbai Indians,Abhinav Manohar,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Josh Little,Shubman Gill,Tilak Varma,Kumar Kartikeya,Gujarat Titans,Mumbai Indians,,
Kumar Kartikeya,4.0,0,39.0,1,9.75,7,3,2,0,0,35,Mumbai Indians,2023-04-25,2023,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Gujarat Titans,Mumbai Indians,Abhinav Manohar,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Josh Little,Shubman Gill,Tilak Varma,Kumar Kartikeya,Gujarat Titans,Mumbai Indians,,
Mohammed Shami,4.0,0,18.0,0,4.5,14,2,0,1,0,35,Gujarat Titans,2023-04-25,2023,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Gujarat Titans,Mumbai Indians,Abhinav Manohar,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Josh Little,Shubman Gill,Tilak Varma,Kumar Kartikeya,Gujarat Titans,Mumbai Indians,,
Hardik Pandya,2.0,0,10.0,1,5.0,8,0,1,0,0,35,Gujarat Titans,2023-04-25,2023,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Gujarat Titans,Mumbai Indians,Abhinav Manohar,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Josh Little,Shubman Gill,Tilak Varma,Kumar Kartikeya,Gujarat Titans,Mumbai Indians,,
Rashid Khan,4.0,0,27.0,2,6.75,10,2,1,0,0,35,Gujarat Titans,2023-04-25,2023,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Gujarat Titans,Mumbai Indians,Abhinav Manohar,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Josh Little,Shubman Gill,Tilak Varma,Kumar Kartikeya,Gujarat Titans,Mumbai Indians,,
Noor Ahmad,4.0,0,37.0,3,9.25,10,2,3,0,0,35,Gujarat Titans,2023-04-25,2023,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Gujarat Titans,Mumbai Indians,Abhinav Manohar,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Josh Little,Shubman Gill,Tilak Varma,Kumar Kartikeya,Gujarat Titans,Mumbai Indians,,
Mohit Sharma,4.0,0,38.0,2,9.5,7,1,3,0,0,35,Gujarat Titans,2023-04-25,2023,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Gujarat Titans,Mumbai Indians,Abhinav Manohar,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Josh Little,Shubman Gill,Tilak Varma,Kumar Kartikeya,Gujarat Titans,Mumbai Indians,,
Josh Little,2.0,0,18.0,0,9.0,2,1,1,0,0,35,Gujarat Titans,2023-04-25,2023,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Gujarat Titans,Mumbai Indians,Abhinav Manohar,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Josh Little,Shubman Gill,Tilak Varma,Kumar Kartikeya,Gujarat Titans,Mumbai Indians,,
Mohammed Siraj,4.0,0,33.0,1,8.25,11,5,1,0,0,36,Royal Challengers Bangalore,2023-04-26,2023,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,Varun Chakravarthy,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Rohan Pandit,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Faf du Plessis,Harshal Patel,Suyash Sharma,Jason Roy,Royal Challengers Bangalore,Kolkata Knight Riders,,
David Willey,3.0,0,31.0,0,10.33,5,4,1,1,0,36,Royal Challengers Bangalore,2023-04-26,2023,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,Varun Chakravarthy,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Rohan Pandit,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Faf du Plessis,Harshal Patel,Suyash Sharma,Jason Roy,Royal Challengers Bangalore,Kolkata Knight Riders,,
Wanindu Hasaranga,4.0,0,24.0,2,6.0,10,3,0,0,0,36,Royal Challengers Bangalore,2023-04-26,2023,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,Varun Chakravarthy,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Rohan Pandit,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Faf du Plessis,Harshal Patel,Suyash Sharma,Jason Roy,Royal Challengers Bangalore,Kolkata Knight Riders,,
Shahbaz Ahmed,1.0,0,25.0,0,25.0,1,0,4,0,0,36,Royal Challengers Bangalore,2023-04-26,2023,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,Varun Chakravarthy,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Rohan Pandit,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Faf du Plessis,Harshal Patel,Suyash Sharma,Jason Roy,Royal Challengers Bangalore,Kolkata Knight Riders,,
Vijaykumar Vyshak,4.0,0,41.0,2,10.25,3,2,2,3,0,36,Royal Challengers Bangalore,2023-04-26,2023,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,Varun Chakravarthy,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Rohan Pandit,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Faf du Plessis,Harshal Patel,Suyash Sharma,Jason Roy,Royal Challengers Bangalore,Kolkata Knight Riders,,
Harshal Patel,4.0,0,44.0,0,11.0,7,2,4,1,0,36,Royal Challengers Bangalore,2023-04-26,2023,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,Varun Chakravarthy,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Rohan Pandit,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Faf du Plessis,Harshal Patel,Suyash Sharma,Jason Roy,Royal Challengers Bangalore,Kolkata Knight Riders,,
Vaibhav Arora,2.0,0,22.0,0,11.0,3,3,0,1,0,36,Kolkata Knight Riders,2023-04-26,2023,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,Varun Chakravarthy,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Rohan Pandit,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Faf du Plessis,Harshal Patel,Suyash Sharma,Jason Roy,Royal Challengers Bangalore,Kolkata Knight Riders,,
Umesh Yadav,1.0,0,19.0,0,19.0,0,1,2,0,0,36,Kolkata Knight Riders,2023-04-26,2023,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,Varun Chakravarthy,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Rohan Pandit,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Faf du Plessis,Harshal Patel,Suyash Sharma,Jason Roy,Royal Challengers Bangalore,Kolkata Knight Riders,,
Suyash Sharma,4.0,0,30.0,2,7.5,5,3,0,1,0,36,Kolkata Knight Riders,2023-04-26,2023,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,Varun Chakravarthy,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Rohan Pandit,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Faf du Plessis,Harshal Patel,Suyash Sharma,Jason Roy,Royal Challengers Bangalore,Kolkata Knight Riders,,
Varun Chakravarthy,4.0,0,27.0,3,6.75,9,2,1,0,0,36,Kolkata Knight Riders,2023-04-26,2023,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,Varun Chakravarthy,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Rohan Pandit,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Faf du Plessis,Harshal Patel,Suyash Sharma,Jason Roy,Royal Challengers Bangalore,Kolkata Knight Riders,,
Andre Russell,4.0,0,29.0,2,7.25,11,1,2,0,0,36,Kolkata Knight Riders,2023-04-26,2023,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,Varun Chakravarthy,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Rohan Pandit,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Faf du Plessis,Harshal Patel,Suyash Sharma,Jason Roy,Royal Challengers Bangalore,Kolkata Knight Riders,,
Sunil Narine,4.0,0,41.0,0,10.25,2,1,2,0,0,36,Kolkata Knight Riders,2023-04-26,2023,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,Varun Chakravarthy,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Rohan Pandit,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Faf du Plessis,Harshal Patel,Suyash Sharma,Jason Roy,Royal Challengers Bangalore,Kolkata Knight Riders,,
Nitish Rana,1.0,0,8.0,0,8.0,1,1,0,0,0,36,Kolkata Knight Riders,2023-04-26,2023,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,Varun Chakravarthy,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Rohan Pandit,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Faf du Plessis,Harshal Patel,Suyash Sharma,Jason Roy,Royal Challengers Bangalore,Kolkata Knight Riders,,
Akash Singh,2.0,0,32.0,0,16.0,3,6,1,0,0,37,Chennai Super Kings,2023-04-27,2023,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,Chennai Super Kings,Yashasvi Jaiswal,"Sawai Mansingh Stadium, Jaipur",Akshay Totre,Yeshwant Barde,Rod Tucker,Mohamed Rafi,Manu Nayyar,Ambati Rayudu,Akash Singh,Kuldip Yadav,Shimron Hetmyer,Chennai Super Kings,Rajasthan Royals,,
Tushar Deshpande,4.0,0,42.0,2,10.5,10,5,2,0,0,37,Chennai Super Kings,2023-04-27,2023,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,Chennai Super Kings,Yashasvi Jaiswal,"Sawai Mansingh Stadium, Jaipur",Akshay Totre,Yeshwant Barde,Rod Tucker,Mohamed Rafi,Manu Nayyar,Ambati Rayudu,Akash Singh,Kuldip Yadav,Shimron Hetmyer,Chennai Super Kings,Rajasthan Royals,,
Maheesh Theekshana,4.0,0,24.0,1,6.0,11,3,0,1,0,37,Chennai Super Kings,2023-04-27,2023,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,Chennai Super Kings,Yashasvi Jaiswal,"Sawai Mansingh Stadium, Jaipur",Akshay Totre,Yeshwant Barde,Rod Tucker,Mohamed Rafi,Manu Nayyar,Ambati Rayudu,Akash Singh,Kuldip Yadav,Shimron Hetmyer,Chennai Super Kings,Rajasthan Royals,,
Ravindra Jadeja,4.0,0,32.0,1,8.0,6,2,1,1,0,37,Chennai Super Kings,2023-04-27,2023,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,Chennai Super Kings,Yashasvi Jaiswal,"Sawai Mansingh Stadium, Jaipur",Akshay Totre,Yeshwant Barde,Rod Tucker,Mohamed Rafi,Manu Nayyar,Ambati Rayudu,Akash Singh,Kuldip Yadav,Shimron Hetmyer,Chennai Super Kings,Rajasthan Royals,,
Moeen Ali,2.0,0,17.0,0,8.5,2,0,1,0,0,37,Chennai Super Kings,2023-04-27,2023,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,Chennai Super Kings,Yashasvi Jaiswal,"Sawai Mansingh Stadium, Jaipur",Akshay Totre,Yeshwant Barde,Rod Tucker,Mohamed Rafi,Manu Nayyar,Ambati Rayudu,Akash Singh,Kuldip Yadav,Shimron Hetmyer,Chennai Super Kings,Rajasthan Royals,,
Matheesha Pathirana,4.0,0,48.0,0,12.0,5,5,1,2,0,37,Chennai Super Kings,2023-04-27,2023,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,Chennai Super Kings,Yashasvi Jaiswal,"Sawai Mansingh Stadium, Jaipur",Akshay Totre,Yeshwant Barde,Rod Tucker,Mohamed Rafi,Manu Nayyar,Ambati Rayudu,Akash Singh,Kuldip Yadav,Shimron Hetmyer,Chennai Super Kings,Rajasthan Royals,,
Sandeep Sharma,4.0,0,24.0,0,6.0,10,3,0,0,0,37,Rajasthan Royals,2023-04-27,2023,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,Chennai Super Kings,Yashasvi Jaiswal,"Sawai Mansingh Stadium, Jaipur",Akshay Totre,Yeshwant Barde,Rod Tucker,Mohamed Rafi,Manu Nayyar,Ambati Rayudu,Akash Singh,Kuldip Yadav,Shimron Hetmyer,Chennai Super Kings,Rajasthan Royals,,
Kuldip Yadav,3.0,0,18.0,1,6.0,4,1,0,0,0,37,Rajasthan Royals,2023-04-27,2023,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,Chennai Super Kings,Yashasvi Jaiswal,"Sawai Mansingh Stadium, Jaipur",Akshay Totre,Yeshwant Barde,Rod Tucker,Mohamed Rafi,Manu Nayyar,Ambati Rayudu,Akash Singh,Kuldip Yadav,Shimron Hetmyer,Chennai Super Kings,Rajasthan Royals,,
Jason Holder,4.0,0,49.0,0,12.25,4,4,3,1,0,37,Rajasthan Royals,2023-04-27,2023,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,Chennai Super Kings,Yashasvi Jaiswal,"Sawai Mansingh Stadium, Jaipur",Akshay Totre,Yeshwant Barde,Rod Tucker,Mohamed Rafi,Manu Nayyar,Ambati Rayudu,Akash Singh,Kuldip Yadav,Shimron Hetmyer,Chennai Super Kings,Rajasthan Royals,,
Ravichandran Ashwin,4.0,0,35.0,2,8.75,7,1,2,0,0,37,Rajasthan Royals,2023-04-27,2023,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,Chennai Super Kings,Yashasvi Jaiswal,"Sawai Mansingh Stadium, Jaipur",Akshay Totre,Yeshwant Barde,Rod Tucker,Mohamed Rafi,Manu Nayyar,Ambati Rayudu,Akash Singh,Kuldip Yadav,Shimron Hetmyer,Chennai Super Kings,Rajasthan Royals,,
Adam Zampa,3.0,0,22.0,3,7.33,7,2,1,0,0,37,Rajasthan Royals,2023-04-27,2023,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,Chennai Super Kings,Yashasvi Jaiswal,"Sawai Mansingh Stadium, Jaipur",Akshay Totre,Yeshwant Barde,Rod Tucker,Mohamed Rafi,Manu Nayyar,Ambati Rayudu,Akash Singh,Kuldip Yadav,Shimron Hetmyer,Chennai Super Kings,Rajasthan Royals,,
Yuzvendra Chahal,2.0,0,21.0,0,10.5,3,2,1,0,0,37,Rajasthan Royals,2023-04-27,2023,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,Chennai Super Kings,Yashasvi Jaiswal,"Sawai Mansingh Stadium, Jaipur",Akshay Totre,Yeshwant Barde,Rod Tucker,Mohamed Rafi,Manu Nayyar,Ambati Rayudu,Akash Singh,Kuldip Yadav,Shimron Hetmyer,Chennai Super Kings,Rajasthan Royals,,
Gurnoor Brar,3.0,0,42.0,0,14.0,7,4,3,1,2,38,Punjab Kings,2023-04-28,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,Punjab Kings,Marcus Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Nitin Menon,Vinod Seshan,Saiyed Khalid,VM Dhokre,Shakti Singh,Amit Mishra,Kyle Mayers,Prabhsimran Singh,Gurnoor Brar,Lucknow Super Giants,Punjab Kings,Gurnoor  Brar,
Arshdeep Singh,4.0,0,54.0,1,13.5,4,10,0,2,0,38,Punjab Kings,2023-04-28,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,Punjab Kings,Marcus Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Nitin Menon,Vinod Seshan,Saiyed Khalid,VM Dhokre,Shakti Singh,Amit Mishra,Kyle Mayers,Prabhsimran Singh,Gurnoor Brar,Lucknow Super Giants,Punjab Kings,Gurnoor  Brar,
Kagiso Rabada,4.0,0,52.0,2,13.0,12,3,5,2,2,38,Punjab Kings,2023-04-28,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,Punjab Kings,Marcus Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Nitin Menon,Vinod Seshan,Saiyed Khalid,VM Dhokre,Shakti Singh,Amit Mishra,Kyle Mayers,Prabhsimran Singh,Gurnoor Brar,Lucknow Super Giants,Punjab Kings,Gurnoor  Brar,
Sikandar Raza,1.0,0,17.0,0,17.0,2,1,2,0,0,38,Punjab Kings,2023-04-28,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,Punjab Kings,Marcus Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Nitin Menon,Vinod Seshan,Saiyed Khalid,VM Dhokre,Shakti Singh,Amit Mishra,Kyle Mayers,Prabhsimran Singh,Gurnoor Brar,Lucknow Super Giants,Punjab Kings,Gurnoor  Brar,
Rahul Chahar,4.0,0,29.0,0,7.25,8,2,1,0,0,38,Punjab Kings,2023-04-28,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,Punjab Kings,Marcus Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Nitin Menon,Vinod Seshan,Saiyed Khalid,VM Dhokre,Shakti Singh,Amit Mishra,Kyle Mayers,Prabhsimran Singh,Gurnoor Brar,Lucknow Super Giants,Punjab Kings,Gurnoor  Brar,
Sam Curran,3.0,0,38.0,1,12.66,5,4,2,0,0,38,Punjab Kings,2023-04-28,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,Punjab Kings,Marcus Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Nitin Menon,Vinod Seshan,Saiyed Khalid,VM Dhokre,Shakti Singh,Amit Mishra,Kyle Mayers,Prabhsimran Singh,Gurnoor Brar,Lucknow Super Giants,Punjab Kings,Gurnoor  Brar,
Liam Livingstone,1.0,0,19.0,1,19.0,1,3,1,0,0,38,Punjab Kings,2023-04-28,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,Punjab Kings,Marcus Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Nitin Menon,Vinod Seshan,Saiyed Khalid,VM Dhokre,Shakti Singh,Amit Mishra,Kyle Mayers,Prabhsimran Singh,Gurnoor Brar,Lucknow Super Giants,Punjab Kings,Gurnoor  Brar,
Marcus Stoinis,1.5,0,21.0,1,11.45,5,2,1,4,0,38,Lucknow Super Giants,2023-04-28,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,Punjab Kings,Marcus Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Nitin Menon,Vinod Seshan,Saiyed Khalid,VM Dhokre,Shakti Singh,Amit Mishra,Kyle Mayers,Prabhsimran Singh,Gurnoor Brar,Lucknow Super Giants,Punjab Kings,Gurnoor  Brar,
Kyle Mayers,1.0,0,4.0,0,4.0,5,1,0,0,0,38,Lucknow Super Giants,2023-04-28,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,Punjab Kings,Marcus Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Nitin Menon,Vinod Seshan,Saiyed Khalid,VM Dhokre,Shakti Singh,Amit Mishra,Kyle Mayers,Prabhsimran Singh,Gurnoor Brar,Lucknow Super Giants,Punjab Kings,Gurnoor  Brar,
Ayush Badoni,0.1,0,0.0,0,0.0,1,0,0,0,0,38,Lucknow Super Giants,2023-04-28,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,Punjab Kings,Marcus Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Nitin Menon,Vinod Seshan,Saiyed Khalid,VM Dhokre,Shakti Singh,Amit Mishra,Kyle Mayers,Prabhsimran Singh,Gurnoor Brar,Lucknow Super Giants,Punjab Kings,Gurnoor  Brar,
Naveen-ul-Haq,4.0,0,30.0,3,7.5,11,2,0,1,1,38,Lucknow Super Giants,2023-04-28,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,Punjab Kings,Marcus Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Nitin Menon,Vinod Seshan,Saiyed Khalid,VM Dhokre,Shakti Singh,Amit Mishra,Kyle Mayers,Prabhsimran Singh,Gurnoor Brar,Lucknow Super Giants,Punjab Kings,Gurnoor  Brar,
Avesh Khan,2.0,0,28.0,0,14.0,1,3,1,0,0,38,Lucknow Super Giants,2023-04-28,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,Punjab Kings,Marcus Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Nitin Menon,Vinod Seshan,Saiyed Khalid,VM Dhokre,Shakti Singh,Amit Mishra,Kyle Mayers,Prabhsimran Singh,Gurnoor Brar,Lucknow Super Giants,Punjab Kings,Gurnoor  Brar,
Amit Mishra,2.0,0,23.0,0,11.5,1,2,1,0,0,38,Lucknow Super Giants,2023-04-28,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,Punjab Kings,Marcus Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Nitin Menon,Vinod Seshan,Saiyed Khalid,VM Dhokre,Shakti Singh,Amit Mishra,Kyle Mayers,Prabhsimran Singh,Gurnoor Brar,Lucknow Super Giants,Punjab Kings,Gurnoor  Brar,
Ravi Bishnoi,4.0,0,41.0,2,10.25,9,4,2,0,1,38,Lucknow Super Giants,2023-04-28,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,Punjab Kings,Marcus Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Nitin Menon,Vinod Seshan,Saiyed Khalid,VM Dhokre,Shakti Singh,Amit Mishra,Kyle Mayers,Prabhsimran Singh,Gurnoor Brar,Lucknow Super Giants,Punjab Kings,Gurnoor  Brar,
