BOWLING,over,Mins,Runs,Wicket,Economy,Zeros,fours,sixs,Wide,Noball,counter,bowl_team,Date,Season,Toss_team,First_innings,second_innings,bat_field,Team1_Won,Team2_lost,Player Of The Match,Stadium,Umpires1,Umpires2,TV_Umpire,Res_Umpire,Match_Ref,ImpactPlayers1,Replace1Player1,ImpactPlayers2,ReplacePlayer2,impactTeam1,impactTeam2,T20_debut_1,T20_debut_2
Jaydev Unadkat,3.0,0,39.0,0,13.0,3,5,0,2,0,3,Lucknow Super Giants,2023-04-01,2023,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,Lucknow Super Giants,Delhi Capitals,Mark Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nikhil Patwardhan,Sadashiv Iyer,Madanagopal Kuppuraj,Daniel Manohar,Aman Hakim Khan,Khaleel Ahmed,Krishnappa Gowtham,Ayush Badoni,Delhi Capitals,Lucknow Super Giants,,
Krishnappa Gowtham,4.0,0,23.0,0,5.75,9,2,0,1,0,3,Lucknow Super Giants,2023-04-01,2023,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,Lucknow Super Giants,Delhi Capitals,Mark Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nikhil Patwardhan,Sadashiv Iyer,Madanagopal Kuppuraj,Daniel Manohar,Aman Hakim Khan,Khaleel Ahmed,Krishnappa Gowtham,Ayush Badoni,Delhi Capitals,Lucknow Super Giants,,
Avesh Khan,4.0,0,29.0,2,7.25,12,3,1,0,0,3,Lucknow Super Giants,2023-04-01,2023,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,Lucknow Super Giants,Delhi Capitals,Mark Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nikhil Patwardhan,Sadashiv Iyer,Madanagopal Kuppuraj,Daniel Manohar,Aman Hakim Khan,Khaleel Ahmed,Krishnappa Gowtham,Ayush Badoni,Delhi Capitals,Lucknow Super Giants,,
Mark Wood,4.0,0,14.0,5,3.5,17,1,0,1,1,3,Lucknow Super Giants,2023-04-01,2023,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,Lucknow Super Giants,Delhi Capitals,Mark Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nikhil Patwardhan,Sadashiv Iyer,Madanagopal Kuppuraj,Daniel Manohar,Aman Hakim Khan,Khaleel Ahmed,Krishnappa Gowtham,Ayush Badoni,Delhi Capitals,Lucknow Super Giants,,
Ravi Bishnoi,4.0,0,31.0,2,7.75,8,3,1,0,0,3,Lucknow Super Giants,2023-04-01,2023,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,Lucknow Super Giants,Delhi Capitals,Mark Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nikhil Patwardhan,Sadashiv Iyer,Madanagopal Kuppuraj,Daniel Manohar,Aman Hakim Khan,Khaleel Ahmed,Krishnappa Gowtham,Ayush Badoni,Delhi Capitals,Lucknow Super Giants,,
Bhuvneshwar Kumar,3.0,0,36.0,0,12.0,6,4,2,1,0,4,Sunrisers Hyderabad,2023-04-02,2023,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,Jos Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,Rohan Pandit,Navdeep Singh,Abhijit Bhattacharya,Narayanan Kutty,Abdul Samad,Fazalhaq Farooqi,Navdeep Saini,Yashasvi Jaiswal,Sunrisers Hyderabad,Rajasthan Royals,,
Fazalhaq Farooqi,4.0,0,41.0,2,10.25,11,7,0,0,0,4,Sunrisers Hyderabad,2023-04-02,2023,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,Jos Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,Rohan Pandit,Navdeep Singh,Abhijit Bhattacharya,Narayanan Kutty,Abdul Samad,Fazalhaq Farooqi,Navdeep Saini,Yashasvi Jaiswal,Sunrisers Hyderabad,Rajasthan Royals,,
Washington Sundar,3.0,0,32.0,0,10.66,5,1,3,0,0,4,Sunrisers Hyderabad,2023-04-02,2023,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,Jos Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,Rohan Pandit,Navdeep Singh,Abhijit Bhattacharya,Narayanan Kutty,Abdul Samad,Fazalhaq Farooqi,Navdeep Saini,Yashasvi Jaiswal,Sunrisers Hyderabad,Rajasthan Royals,,
T Natarajan,3.0,0,23.0,2,7.66,7,4,0,0,0,4,Sunrisers Hyderabad,2023-04-02,2023,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,Jos Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,Rohan Pandit,Navdeep Singh,Abhijit Bhattacharya,Narayanan Kutty,Abdul Samad,Fazalhaq Farooqi,Navdeep Saini,Yashasvi Jaiswal,Sunrisers Hyderabad,Rajasthan Royals,,
Adil Rashid,4.0,0,33.0,0,8.25,6,1,2,0,0,4,Sunrisers Hyderabad,2023-04-02,2023,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,Jos Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,Rohan Pandit,Navdeep Singh,Abhijit Bhattacharya,Narayanan Kutty,Abdul Samad,Fazalhaq Farooqi,Navdeep Saini,Yashasvi Jaiswal,Sunrisers Hyderabad,Rajasthan Royals,,
