batting,out,runs,balls,mins,fours,sixs,SR,counter,bat_team,Date,Season,Toss_team,First_innings,second_innings,bat_field,Team1_Won,Team2_lost,Player Of The Match,Stadium,Umpires1,Umpires2,TV_Umpire,Res_Umpire,Match_Ref,ImpactPlayers1,Replace1Player1,ImpactPlayers2,ReplacePlayer2,impactTeam1,impactTeam2,T20_debut_1,T20_debut_2
Narayan Jagadeesan †,lbw b Mohammed Shami,19,15,16,4,0,126.66,39,Kolkata Knight Riders,2023-04-29,2023,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,Gujarat Titans,Kolkata Knight Riders,Josh Little,"Eden Gardens, Kolkata",Nikhil Patwardhan,Sadashiv Iyer,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Shubman Gill,Mohit Sharma,Suyash Sharma,Venkatesh Iyer,Gujarat Titans,Kolkata Knight Riders,,
Rahmanullah Gurbaz,c Rashid Khan b Noor Ahmad,81,39,80,5,7,207.69,39,Kolkata Knight Riders,2023-04-29,2023,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,Gujarat Titans,Kolkata Knight Riders,Josh Little,"Eden Gardens, Kolkata",Nikhil Patwardhan,Sadashiv Iyer,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Shubman Gill,Mohit Sharma,Suyash Sharma,Venkatesh Iyer,Gujarat Titans,Kolkata Knight Riders,,
Shardul Thakur,c Sharma b Mohammed Shami,0,4,13,0,0,0.0,39,Kolkata Knight Riders,2023-04-29,2023,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,Gujarat Titans,Kolkata Knight Riders,Josh Little,"Eden Gardens, Kolkata",Nikhil Patwardhan,Sadashiv Iyer,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Shubman Gill,Mohit Sharma,Suyash Sharma,Venkatesh Iyer,Gujarat Titans,Kolkata Knight Riders,,
Venkatesh Iyer,lbw b Little,11,14,27,0,0,78.57,39,Kolkata Knight Riders,2023-04-29,2023,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,Gujarat Titans,Kolkata Knight Riders,Josh Little,"Eden Gardens, Kolkata",Nikhil Patwardhan,Sadashiv Iyer,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Shubman Gill,Mohit Sharma,Suyash Sharma,Venkatesh Iyer,Gujarat Titans,Kolkata Knight Riders,,
Nitish Rana (c),c Tewatia b Little,4,3,5,1,0,133.33,39,Kolkata Knight Riders,2023-04-29,2023,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,Gujarat Titans,Kolkata Knight Riders,Josh Little,"Eden Gardens, Kolkata",Nikhil Patwardhan,Sadashiv Iyer,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Shubman Gill,Mohit Sharma,Suyash Sharma,Venkatesh Iyer,Gujarat Titans,Kolkata Knight Riders,,
Rinku Singh,c Little b Noor Ahmad,19,20,33,0,1,95.0,39,Kolkata Knight Riders,2023-04-29,2023,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,Gujarat Titans,Kolkata Knight Riders,Josh Little,"Eden Gardens, Kolkata",Nikhil Patwardhan,Sadashiv Iyer,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Shubman Gill,Mohit Sharma,Suyash Sharma,Venkatesh Iyer,Gujarat Titans,Kolkata Knight Riders,,
Andre Russell,c Tewatia b Mohammed Shami,34,19,22,2,3,178.94,39,Kolkata Knight Riders,2023-04-29,2023,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,Gujarat Titans,Kolkata Knight Riders,Josh Little,"Eden Gardens, Kolkata",Nikhil Patwardhan,Sadashiv Iyer,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Shubman Gill,Mohit Sharma,Suyash Sharma,Venkatesh Iyer,Gujarat Titans,Kolkata Knight Riders,,
David Wiese,not out,8,6,13,0,1,133.33,39,Kolkata Knight Riders,2023-04-29,2023,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,Gujarat Titans,Kolkata Knight Riders,Josh Little,"Eden Gardens, Kolkata",Nikhil Patwardhan,Sadashiv Iyer,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Shubman Gill,Mohit Sharma,Suyash Sharma,Venkatesh Iyer,Gujarat Titans,Kolkata Knight Riders,,
Wriddhiman Saha †,c Harshit Rana b Russell,10,10,21,1,0,100.0,39,Gujarat Titans,2023-04-29,2023,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,Gujarat Titans,Kolkata Knight Riders,Josh Little,"Eden Gardens, Kolkata",Nikhil Patwardhan,Sadashiv Iyer,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Shubman Gill,Mohit Sharma,Suyash Sharma,Venkatesh Iyer,Gujarat Titans,Kolkata Knight Riders,,
Shubman Gill,c Russell b Narine,49,35,53,8,0,140.0,39,Gujarat Titans,2023-04-29,2023,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,Gujarat Titans,Kolkata Knight Riders,Josh Little,"Eden Gardens, Kolkata",Nikhil Patwardhan,Sadashiv Iyer,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Shubman Gill,Mohit Sharma,Suyash Sharma,Venkatesh Iyer,Gujarat Titans,Kolkata Knight Riders,,
Hardik Pandya (c),lbw b Harshit Rana,26,20,28,2,1,130.0,39,Gujarat Titans,2023-04-29,2023,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,Gujarat Titans,Kolkata Knight Riders,Josh Little,"Eden Gardens, Kolkata",Nikhil Patwardhan,Sadashiv Iyer,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Shubman Gill,Mohit Sharma,Suyash Sharma,Venkatesh Iyer,Gujarat Titans,Kolkata Knight Riders,,
Vijay Shankar,not out,51,24,37,2,5,212.5,39,Gujarat Titans,2023-04-29,2023,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,Gujarat Titans,Kolkata Knight Riders,Josh Little,"Eden Gardens, Kolkata",Nikhil Patwardhan,Sadashiv Iyer,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Shubman Gill,Mohit Sharma,Suyash Sharma,Venkatesh Iyer,Gujarat Titans,Kolkata Knight Riders,,
David Miller,not out,32,18,32,2,2,177.77,39,Gujarat Titans,2023-04-29,2023,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,Gujarat Titans,Kolkata Knight Riders,Josh Little,"Eden Gardens, Kolkata",Nikhil Patwardhan,Sadashiv Iyer,Chris Gaffaney,Mohit Krishnadas,Satyajit Satbhai,Shubman Gill,Mohit Sharma,Suyash Sharma,Venkatesh Iyer,Gujarat Titans,Kolkata Knight Riders,,
Abhishek Sharma,c Warner b AR Patel,67,36,62,12,1,186.11,40,Sunrisers Hyderabad,2023-04-29,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,Delhi Capitals,Mitchell Marsh,"Arun Jaitley Stadium, Delhi",Michael Gough,Navdeep Singh,Saidharshan Kumar,Parashar Joshi,Narayanan Kutty,Sarfaraz Khan,Ishant Sharma,T Natarajan,Rahul Tripathi,Delhi Capitals,Sunrisers Hyderabad,,
Mayank Agarwal,c †Salt b Sharma,5,6,15,1,0,83.33,40,Sunrisers Hyderabad,2023-04-29,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,Delhi Capitals,Mitchell Marsh,"Arun Jaitley Stadium, Delhi",Michael Gough,Navdeep Singh,Saidharshan Kumar,Parashar Joshi,Narayanan Kutty,Sarfaraz Khan,Ishant Sharma,T Natarajan,Rahul Tripathi,Delhi Capitals,Sunrisers Hyderabad,,
Rahul Tripathi,c Pandey b Marsh,10,6,12,0,1,166.66,40,Sunrisers Hyderabad,2023-04-29,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,Delhi Capitals,Mitchell Marsh,"Arun Jaitley Stadium, Delhi",Michael Gough,Navdeep Singh,Saidharshan Kumar,Parashar Joshi,Narayanan Kutty,Sarfaraz Khan,Ishant Sharma,T Natarajan,Rahul Tripathi,Delhi Capitals,Sunrisers Hyderabad,,
Aiden Markram (c),c AR Patel b Marsh,8,13,21,0,0,61.53,40,Sunrisers Hyderabad,2023-04-29,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,Delhi Capitals,Mitchell Marsh,"Arun Jaitley Stadium, Delhi",Michael Gough,Navdeep Singh,Saidharshan Kumar,Parashar Joshi,Narayanan Kutty,Sarfaraz Khan,Ishant Sharma,T Natarajan,Rahul Tripathi,Delhi Capitals,Sunrisers Hyderabad,,
Harry Brook,c AR Patel b Marsh,0,2,3,0,0,0.0,40,Sunrisers Hyderabad,2023-04-29,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,Delhi Capitals,Mitchell Marsh,"Arun Jaitley Stadium, Delhi",Michael Gough,Navdeep Singh,Saidharshan Kumar,Parashar Joshi,Narayanan Kutty,Sarfaraz Khan,Ishant Sharma,T Natarajan,Rahul Tripathi,Delhi Capitals,Sunrisers Hyderabad,,
Heinrich Klaasen †,not out,53,27,50,2,4,196.29,40,Sunrisers Hyderabad,2023-04-29,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,Delhi Capitals,Mitchell Marsh,"Arun Jaitley Stadium, Delhi",Michael Gough,Navdeep Singh,Saidharshan Kumar,Parashar Joshi,Narayanan Kutty,Sarfaraz Khan,Ishant Sharma,T Natarajan,Rahul Tripathi,Delhi Capitals,Sunrisers Hyderabad,,
Abdul Samad,c †Salt b Marsh,28,21,21,1,2,133.33,40,Sunrisers Hyderabad,2023-04-29,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,Delhi Capitals,Mitchell Marsh,"Arun Jaitley Stadium, Delhi",Michael Gough,Navdeep Singh,Saidharshan Kumar,Parashar Joshi,Narayanan Kutty,Sarfaraz Khan,Ishant Sharma,T Natarajan,Rahul Tripathi,Delhi Capitals,Sunrisers Hyderabad,,
Akeal Hosein,not out,16,10,17,1,1,160.0,40,Sunrisers Hyderabad,2023-04-29,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,Delhi Capitals,Mitchell Marsh,"Arun Jaitley Stadium, Delhi",Michael Gough,Navdeep Singh,Saidharshan Kumar,Parashar Joshi,Narayanan Kutty,Sarfaraz Khan,Ishant Sharma,T Natarajan,Rahul Tripathi,Delhi Capitals,Sunrisers Hyderabad,,
David Warner (c),b Kumar,0,2,2,0,0,0.0,40,Delhi Capitals,2023-04-29,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,Delhi Capitals,Mitchell Marsh,"Arun Jaitley Stadium, Delhi",Michael Gough,Navdeep Singh,Saidharshan Kumar,Parashar Joshi,Narayanan Kutty,Sarfaraz Khan,Ishant Sharma,T Natarajan,Rahul Tripathi,Delhi Capitals,Sunrisers Hyderabad,,
Phil Salt †,c & b Markande,59,35,53,9,0,168.57,40,Delhi Capitals,2023-04-29,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,Delhi Capitals,Mitchell Marsh,"Arun Jaitley Stadium, Delhi",Michael Gough,Navdeep Singh,Saidharshan Kumar,Parashar Joshi,Narayanan Kutty,Sarfaraz Khan,Ishant Sharma,T Natarajan,Rahul Tripathi,Delhi Capitals,Sunrisers Hyderabad,,
Mitchell Marsh,c Markram b Hosein,63,39,63,1,6,161.53,40,Delhi Capitals,2023-04-29,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,Delhi Capitals,Mitchell Marsh,"Arun Jaitley Stadium, Delhi",Michael Gough,Navdeep Singh,Saidharshan Kumar,Parashar Joshi,Narayanan Kutty,Sarfaraz Khan,Ishant Sharma,T Natarajan,Rahul Tripathi,Delhi Capitals,Sunrisers Hyderabad,,
Manish Pandey,st †Klaasen b Abhishek Sharma,1,3,5,0,0,33.33,40,Delhi Capitals,2023-04-29,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,Delhi Capitals,Mitchell Marsh,"Arun Jaitley Stadium, Delhi",Michael Gough,Navdeep Singh,Saidharshan Kumar,Parashar Joshi,Narayanan Kutty,Sarfaraz Khan,Ishant Sharma,T Natarajan,Rahul Tripathi,Delhi Capitals,Sunrisers Hyderabad,,
Priyam Garg,b Markande,12,9,15,1,0,133.33,40,Delhi Capitals,2023-04-29,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,Delhi Capitals,Mitchell Marsh,"Arun Jaitley Stadium, Delhi",Michael Gough,Navdeep Singh,Saidharshan Kumar,Parashar Joshi,Narayanan Kutty,Sarfaraz Khan,Ishant Sharma,T Natarajan,Rahul Tripathi,Delhi Capitals,Sunrisers Hyderabad,,
Sarfaraz Khan,b Natarajan,9,10,19,1,0,90.0,40,Delhi Capitals,2023-04-29,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,Delhi Capitals,Mitchell Marsh,"Arun Jaitley Stadium, Delhi",Michael Gough,Navdeep Singh,Saidharshan Kumar,Parashar Joshi,Narayanan Kutty,Sarfaraz Khan,Ishant Sharma,T Natarajan,Rahul Tripathi,Delhi Capitals,Sunrisers Hyderabad,,
Axar Patel,not out,29,14,24,1,2,207.14,40,Delhi Capitals,2023-04-29,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,Delhi Capitals,Mitchell Marsh,"Arun Jaitley Stadium, Delhi",Michael Gough,Navdeep Singh,Saidharshan Kumar,Parashar Joshi,Narayanan Kutty,Sarfaraz Khan,Ishant Sharma,T Natarajan,Rahul Tripathi,Delhi Capitals,Sunrisers Hyderabad,,
Ripal Patel,not out,11,8,16,1,0,137.5,40,Delhi Capitals,2023-04-29,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,Delhi Capitals,Mitchell Marsh,"Arun Jaitley Stadium, Delhi",Michael Gough,Navdeep Singh,Saidharshan Kumar,Parashar Joshi,Narayanan Kutty,Sarfaraz Khan,Ishant Sharma,T Natarajan,Rahul Tripathi,Delhi Capitals,Sunrisers Hyderabad,,
Ruturaj Gaikwad,st †Sharma b Sikandar Raza,37,31,47,4,1,119.35,41,Chennai Super Kings,2023-04-30,2023,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,Chennai Super Kings,Devon Conway,"MA Chidambaram Stadium, Chepauk, Chennai",Rod Tucker,Ulhas Gandhe,Yeshwant Barde,Mohamed Rafi,Manu Nayyar,Akash Singh,Ambati Rayudu,Prabhsimran Singh,Kagiso Rabada,Chennai Super Kings,Punjab Kings,,
Devon Conway,not out,92,52,103,16,1,176.92,41,Chennai Super Kings,2023-04-30,2023,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,Chennai Super Kings,Devon Conway,"MA Chidambaram Stadium, Chepauk, Chennai",Rod Tucker,Ulhas Gandhe,Yeshwant Barde,Mohamed Rafi,Manu Nayyar,Akash Singh,Ambati Rayudu,Prabhsimran Singh,Kagiso Rabada,Chennai Super Kings,Punjab Kings,,
Shivam Dube,c Shahrukh Khan b Arshdeep Singh,28,17,23,1,2,164.7,41,Chennai Super Kings,2023-04-30,2023,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,Chennai Super Kings,Devon Conway,"MA Chidambaram Stadium, Chepauk, Chennai",Rod Tucker,Ulhas Gandhe,Yeshwant Barde,Mohamed Rafi,Manu Nayyar,Akash Singh,Ambati Rayudu,Prabhsimran Singh,Kagiso Rabada,Chennai Super Kings,Punjab Kings,,
Moeen Ali,st †Sharma b Chahar,10,6,12,2,0,166.66,41,Chennai Super Kings,2023-04-30,2023,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,Chennai Super Kings,Devon Conway,"MA Chidambaram Stadium, Chepauk, Chennai",Rod Tucker,Ulhas Gandhe,Yeshwant Barde,Mohamed Rafi,Manu Nayyar,Akash Singh,Ambati Rayudu,Prabhsimran Singh,Kagiso Rabada,Chennai Super Kings,Punjab Kings,,
Ravindra Jadeja,c Livingstone b Curran,12,10,15,0,0,120.0,41,Chennai Super Kings,2023-04-30,2023,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,Chennai Super Kings,Devon Conway,"MA Chidambaram Stadium, Chepauk, Chennai",Rod Tucker,Ulhas Gandhe,Yeshwant Barde,Mohamed Rafi,Manu Nayyar,Akash Singh,Ambati Rayudu,Prabhsimran Singh,Kagiso Rabada,Chennai Super Kings,Punjab Kings,,
MS Dhoni (c)†,not out,13,4,8,0,2,325.0,41,Chennai Super Kings,2023-04-30,2023,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,Chennai Super Kings,Devon Conway,"MA Chidambaram Stadium, Chepauk, Chennai",Rod Tucker,Ulhas Gandhe,Yeshwant Barde,Mohamed Rafi,Manu Nayyar,Akash Singh,Ambati Rayudu,Prabhsimran Singh,Kagiso Rabada,Chennai Super Kings,Punjab Kings,,
Prabhsimran Singh,st †Dhoni b Jadeja,42,24,41,4,2,175.0,41,Punjab Kings,2023-04-30,2023,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,Chennai Super Kings,Devon Conway,"MA Chidambaram Stadium, Chepauk, Chennai",Rod Tucker,Ulhas Gandhe,Yeshwant Barde,Mohamed Rafi,Manu Nayyar,Akash Singh,Ambati Rayudu,Prabhsimran Singh,Kagiso Rabada,Chennai Super Kings,Punjab Kings,,
Shikhar Dhawan (c),c Pathirana b Deshpande,28,15,24,4,1,186.66,41,Punjab Kings,2023-04-30,2023,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,Chennai Super Kings,Devon Conway,"MA Chidambaram Stadium, Chepauk, Chennai",Rod Tucker,Ulhas Gandhe,Yeshwant Barde,Mohamed Rafi,Manu Nayyar,Akash Singh,Ambati Rayudu,Prabhsimran Singh,Kagiso Rabada,Chennai Super Kings,Punjab Kings,,
Atharva Taide,c & b Jadeja,13,17,26,0,0,76.47,41,Punjab Kings,2023-04-30,2023,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,Chennai Super Kings,Devon Conway,"MA Chidambaram Stadium, Chepauk, Chennai",Rod Tucker,Ulhas Gandhe,Yeshwant Barde,Mohamed Rafi,Manu Nayyar,Akash Singh,Ambati Rayudu,Prabhsimran Singh,Kagiso Rabada,Chennai Super Kings,Punjab Kings,,
Liam Livingstone,c Gaikwad b Deshpande,40,24,38,1,4,166.66,41,Punjab Kings,2023-04-30,2023,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,Chennai Super Kings,Devon Conway,"MA Chidambaram Stadium, Chepauk, Chennai",Rod Tucker,Ulhas Gandhe,Yeshwant Barde,Mohamed Rafi,Manu Nayyar,Akash Singh,Ambati Rayudu,Prabhsimran Singh,Kagiso Rabada,Chennai Super Kings,Punjab Kings,,
Sam Curran,b Pathirana,29,20,36,1,1,145.0,41,Punjab Kings,2023-04-30,2023,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,Chennai Super Kings,Devon Conway,"MA Chidambaram Stadium, Chepauk, Chennai",Rod Tucker,Ulhas Gandhe,Yeshwant Barde,Mohamed Rafi,Manu Nayyar,Akash Singh,Ambati Rayudu,Prabhsimran Singh,Kagiso Rabada,Chennai Super Kings,Punjab Kings,,
Jitesh Sharma †,c sub (SK Rasheed) b Deshpande,21,10,21,2,1,210.0,41,Punjab Kings,2023-04-30,2023,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,Chennai Super Kings,Devon Conway,"MA Chidambaram Stadium, Chepauk, Chennai",Rod Tucker,Ulhas Gandhe,Yeshwant Barde,Mohamed Rafi,Manu Nayyar,Akash Singh,Ambati Rayudu,Prabhsimran Singh,Kagiso Rabada,Chennai Super Kings,Punjab Kings,,
M Shahrukh Khan,not out,2,3,21,0,0,66.66,41,Punjab Kings,2023-04-30,2023,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,Chennai Super Kings,Devon Conway,"MA Chidambaram Stadium, Chepauk, Chennai",Rod Tucker,Ulhas Gandhe,Yeshwant Barde,Mohamed Rafi,Manu Nayyar,Akash Singh,Ambati Rayudu,Prabhsimran Singh,Kagiso Rabada,Chennai Super Kings,Punjab Kings,,
Sikandar Raza,not out,13,7,9,1,0,185.71,41,Punjab Kings,2023-04-30,2023,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,Chennai Super Kings,Devon Conway,"MA Chidambaram Stadium, Chepauk, Chennai",Rod Tucker,Ulhas Gandhe,Yeshwant Barde,Mohamed Rafi,Manu Nayyar,Akash Singh,Ambati Rayudu,Prabhsimran Singh,Kagiso Rabada,Chennai Super Kings,Punjab Kings,,
Yashasvi Jaiswal,c & b Arshad Khan,124,62,112,16,8,200.0,42,Rajasthan Royals,2023-04-30,2023,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,Yashasvi Jaiswal,"Wankhede Stadium, Mumbai",Vinod Seshan,Virender Sharma,Tapan Sharma,VM Dhokre,Javagal Srinath,Kuldeep Sen,Dhruv Jurel,,,Rajasthan Royals,,,
Jos Buttler,c sub (Ramandeep Singh) b Chawla,18,19,40,2,1,94.73,42,Rajasthan Royals,2023-04-30,2023,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,Yashasvi Jaiswal,"Wankhede Stadium, Mumbai",Vinod Seshan,Virender Sharma,Tapan Sharma,VM Dhokre,Javagal Srinath,Kuldeep Sen,Dhruv Jurel,,,Rajasthan Royals,,,
Sanju Samson (c)†,c Tilak Varma b Arshad Khan,14,10,15,1,1,140.0,42,Rajasthan Royals,2023-04-30,2023,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,Yashasvi Jaiswal,"Wankhede Stadium, Mumbai",Vinod Seshan,Virender Sharma,Tapan Sharma,VM Dhokre,Javagal Srinath,Kuldeep Sen,Dhruv Jurel,,,Rajasthan Royals,,,
Devdutt Padikkal,b Chawla,2,4,6,0,0,50.0,42,Rajasthan Royals,2023-04-30,2023,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,Yashasvi Jaiswal,"Wankhede Stadium, Mumbai",Vinod Seshan,Virender Sharma,Tapan Sharma,VM Dhokre,Javagal Srinath,Kuldeep Sen,Dhruv Jurel,,,Rajasthan Royals,,,
Jason Holder,c David b Archer,11,9,18,0,1,122.22,42,Rajasthan Royals,2023-04-30,2023,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,Yashasvi Jaiswal,"Wankhede Stadium, Mumbai",Vinod Seshan,Virender Sharma,Tapan Sharma,VM Dhokre,Javagal Srinath,Kuldeep Sen,Dhruv Jurel,,,Rajasthan Royals,,,
Shimron Hetmyer,c Yadav b Arshad Khan,8,9,14,0,1,88.88,42,Rajasthan Royals,2023-04-30,2023,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,Yashasvi Jaiswal,"Wankhede Stadium, Mumbai",Vinod Seshan,Virender Sharma,Tapan Sharma,VM Dhokre,Javagal Srinath,Kuldeep Sen,Dhruv Jurel,,,Rajasthan Royals,,,
Dhruv Jurel,c Tilak Varma b Meredith,2,3,6,0,0,66.66,42,Rajasthan Royals,2023-04-30,2023,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,Yashasvi Jaiswal,"Wankhede Stadium, Mumbai",Vinod Seshan,Virender Sharma,Tapan Sharma,VM Dhokre,Javagal Srinath,Kuldeep Sen,Dhruv Jurel,,,Rajasthan Royals,,,
Ravichandran Ashwin,not out,8,5,20,1,0,160.0,42,Rajasthan Royals,2023-04-30,2023,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,Yashasvi Jaiswal,"Wankhede Stadium, Mumbai",Vinod Seshan,Virender Sharma,Tapan Sharma,VM Dhokre,Javagal Srinath,Kuldeep Sen,Dhruv Jurel,,,Rajasthan Royals,,,
Trent Boult,not out,0,0,4,0,0,0.0,42,Rajasthan Royals,2023-04-30,2023,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,Yashasvi Jaiswal,"Wankhede Stadium, Mumbai",Vinod Seshan,Virender Sharma,Tapan Sharma,VM Dhokre,Javagal Srinath,Kuldeep Sen,Dhruv Jurel,,,Rajasthan Royals,,,
Rohit Sharma (c),b Sandeep Sharma,3,5,12,0,0,60.0,42,Mumbai Indians,2023-04-30,2023,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,Yashasvi Jaiswal,"Wankhede Stadium, Mumbai",Vinod Seshan,Virender Sharma,Tapan Sharma,VM Dhokre,Javagal Srinath,Kuldeep Sen,Dhruv Jurel,,,Rajasthan Royals,,,
Ishan Kishan †,c Boult b Ashwin,28,23,44,4,0,121.73,42,Mumbai Indians,2023-04-30,2023,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,Yashasvi Jaiswal,"Wankhede Stadium, Mumbai",Vinod Seshan,Virender Sharma,Tapan Sharma,VM Dhokre,Javagal Srinath,Kuldeep Sen,Dhruv Jurel,,,Rajasthan Royals,,,
Cameron Green,c Boult b Ashwin,44,26,47,4,2,169.23,42,Mumbai Indians,2023-04-30,2023,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,Yashasvi Jaiswal,"Wankhede Stadium, Mumbai",Vinod Seshan,Virender Sharma,Tapan Sharma,VM Dhokre,Javagal Srinath,Kuldeep Sen,Dhruv Jurel,,,Rajasthan Royals,,,
Suryakumar Yadav,c Sandeep Sharma b Boult,55,29,49,8,2,189.65,42,Mumbai Indians,2023-04-30,2023,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,Yashasvi Jaiswal,"Wankhede Stadium, Mumbai",Vinod Seshan,Virender Sharma,Tapan Sharma,VM Dhokre,Javagal Srinath,Kuldeep Sen,Dhruv Jurel,,,Rajasthan Royals,,,
Tilak Varma,not out,29,21,63,3,1,138.09,42,Mumbai Indians,2023-04-30,2023,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,Yashasvi Jaiswal,"Wankhede Stadium, Mumbai",Vinod Seshan,Virender Sharma,Tapan Sharma,VM Dhokre,Javagal Srinath,Kuldeep Sen,Dhruv Jurel,,,Rajasthan Royals,,,
Tim David,not out,45,14,27,2,5,321.42,42,Mumbai Indians,2023-04-30,2023,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,Yashasvi Jaiswal,"Wankhede Stadium, Mumbai",Vinod Seshan,Virender Sharma,Tapan Sharma,VM Dhokre,Javagal Srinath,Kuldeep Sen,Dhruv Jurel,,,Rajasthan Royals,,,
